name_scheme,net_asset_value,outstanding_no_of_units,nav_per_unit,sale_price_per_unit,repurchase_price_per_unit,date_valued
Umoja Fund,"326,391,005,056.2930","345,365,894.0047",945.0586,945.0586,935.608,01-09-2023
Wekeza Maisha Fund,"9,945,957,985.9527","12,333,953.4592",806.3885,806.3885,790.2607,01-09-2023
Watoto Fund,"12,201,117,349.2859","20,509,406.5174",594.9035,594.9035,588.9544,01-09-2023
Jikimu Fund,"20,644,132,855.1350","123,895,765.6199",166.625,166.625,163.2925,01-09-2023
Liquid Fund,"792,559,708,730.0660","2,149,627,482.8297",368.6963,368.6963,368.6963,01-09-2023
Bond Fund,"461,618,425,147.1790","4,011,874,452.7813",115.063,115.063,115.063,01-09-2023
Umoja Fund,"325,527,264,536.7480","345,315,218.7362",942.696,942.696,933.269,31-08-2023
Wekeza Maisha Fund,"9,927,588,668.8003","12,316,358.3874",806.049,806.049,789.928,31-08-2023
Watoto Fund,"12,177,799,926.1776","20,491,191.6386",594.2944,594.2944,588.3514,31-08-2023
Jikimu Fund,"20,587,933,780.4148","123,793,984.5868",166.308,166.308,162.9819,31-08-2023
Liquid Fund,"790,788,364,661.1680","2,145,412,545.3158",368.595,368.595,368.595,31-08-2023
Bond Fund,"464,517,189,871.3230","4,003,377,711.6519",116.0313,116.0313,116.0313,31-08-2023
Umoja Fund,"325,439,805,292.2680","345,275,649.9158",942.5507,942.5507,933.1252,30-08-2023
Wekeza Maisha Fund,"9,915,712,944.3709","12,302,674.1816",805.9803,805.9803,789.8607,30-08-2023
Watoto Fund,"12,145,881,453.8838","20,442,140.5425",594.159,594.159,588.2174,30-08-2023
Jikimu Fund,"20,576,076,242.0109","123,748,186.6319",166.2738,166.2738,162.9483,30-08-2023
Liquid Fund,"789,260,331,044.0060","2,141,858,301.5739",368.4933,368.4933,368.4933,30-08-2023
Bond Fund,"463,882,593,068.7440","3,999,002,154.8244",115.9996,115.9996,115.9996,30-08-2023
Umoja Fund,"325,351,082,157.2640","345,231,265.4297",942.4149,942.4149,932.9907,29-08-2023
Wekeza Maisha Fund,"9,819,968,120.9235","12,184,974.5333",805.908,805.908,789.7898,29-08-2023
Watoto Fund,"12,122,383,519.4729","20,410,589.5598",593.9262,593.9262,587.9869,29-08-2023
Jikimu Fund,"20,382,357,208.8838","122,637,775.2786",166.1997,166.1997,162.8757,29-08-2023
Liquid Fund,"787,873,771,547.9380","2,138,682,369.8414",368.3921,368.3921,368.3921,29-08-2023
Bond Fund,"463,027,737,127.8470","3,992,724,190.8397",115.9679,115.9679,115.9679,29-08-2023
Umoja Fund,"325,368,498,547.7170","345,298,028.5000",942.2831,942.2831,932.8603,28-08-2023
Wekeza Maisha Fund,"9,774,436,939.3356","12,129,504.4513",805.8398,805.8398,789.723,28-08-2023
Watoto Fund,"12,100,338,912.5203","20,378,132.6509",593.7904,593.7904,587.8525,28-08-2023
Jikimu Fund,"20,346,263,008.2302","122,445,954.2424",166.1653,166.1653,162.8419,28-08-2023
Liquid Fund,"784,514,230,045.2500","2,130,150,591.2191",368.2905,368.2905,368.2905,28-08-2023
Bond Fund,"461,606,432,599.3060","3,981,545,135.0888",115.9365,115.9365,115.9365,28-08-2023
Umoja Fund,"325,219,027,878.3700","345,284,407.3585",941.8874,941.8874,932.4685,25-08-2023
Wekeza Maisha Fund,"9,759,538,169.1107","12,112,249.7631",805.7577,805.7577,789.6425,25-08-2023
Watoto Fund,"12,079,266,840.8392","20,356,624.5434",593.3826,593.3826,587.4488,25-08-2023
Jikimu Fund,"20,329,609,862.3349","122,421,810.8126",166.062,166.062,162.7408,25-08-2023
Liquid Fund,"782,524,968,908.8459","2,126,505,737.8731",367.9863,367.9863,367.9863,25-08-2023
Bond Fund,"459,176,663,444.0790","3,967,896,695.3851",115.7229,115.7229,115.7229,25-08-2023
Umoja Fund,"325,340,048,571.2000","345,364,285.9637",942.02,942.02,932.5998,24-08-2023
Wekeza Maisha Fund,"9,745,773,910.5667","12,090,172.4727",806.0906,806.0906,789.9687,24-08-2023
Watoto Fund,"12,074,432,003.5797","20,343,733.2292",593.521,593.521,587.5857,24-08-2023
Jikimu Fund,"20,314,290,049.3488","122,266,000.5630",166.1483,166.1483,162.8253,24-08-2023
Liquid Fund,"781,290,006,409.0861","2,123,736,649.8387",367.8846,367.8846,367.8846,24-08-2023
Bond Fund,"457,979,962,314.9710","3,958,639,828.0464",115.6912,115.6912,115.6912,24-08-2023
Umoja Fund,"325,275,027,950.0040","345,350,099.5799",941.8704,941.8704,932.4517,23-08-2023
Wekeza Maisha Fund,"9,753,020,164.7867","12,102,626.4131",805.8598,805.8598,789.7426,23-08-2023
Watoto Fund,"12,046,602,341.9828","20,303,998.6418",593.3118,593.3118,587.3787,23-08-2023
Jikimu Fund,"20,300,236,865.2174","122,229,154.2557",166.0834,166.0834,162.7618,23-08-2023
Liquid Fund,"781,424,566,183.7030","2,124,690,734.5628",367.7827,367.7827,367.7827,23-08-2023
Bond Fund,"457,258,290,235.7920","3,953,489,677.1746",115.6594,115.6594,115.6594,23-08-2023
Umoja Fund,"324,285,265,091.8780","345,377,597.5022",938.9296,938.9296,929.5403,22-08-2023
Wekeza Maisha Fund,"9,732,405,589.9055","12,097,723.9180",804.4824,804.4824,788.3927,22-08-2023
Watoto Fund,"12,030,190,224.4282","20,298,834.7831",592.6542,592.6542,586.7277,22-08-2023
Jikimu Fund,"20,260,153,033.9626","122,237,241.5837",165.7445,165.7445,162.4296,22-08-2023
Liquid Fund,"780,780,936,738.5410","2,123,529,315.5650",367.6808,367.6808,367.6808,22-08-2023
